VACATION,SW,S_INCOME,E_INCOME,S_POP,E_POP,SLOT,GATE,DISTANCE,FARE
No,Yes,28637,21112,3036732,205711,Free,Free,312,64.11
No,No,26993,29838,3532657,7145897,Free,Free,576,174.47
No,No,30124,29838,5787293,7145897,Free,Free,364,207.76
No,Yes,29260,29838,7830332,7145897,Controlled,Free,612,85.47
No,Yes,29260,29838,7830332,7145897,Free,Free,612,85.47
No,Yes,26046,29838,2230955,7145897,Free,Free,309,56.76
No,No,28637,29838,3036732,7145897,Free,Free,1220,228
Yes,Yes,26752,29838,1440377,7145897,Free,Free,921,116.54
No,Yes,27211,29838,3770125,7145897,Free,Free,1249,172.63
No,Yes,25450,29838,1694803,7145897,Free,Free,964,114.76
Yes,Yes,24575,29838,1197234,7145897,Free,Free,2104,158.2
No,Yes,24706,29838,9056076,7145897,Free,Free,2329,228.99
No,Yes,25995,29838,1115048,7145897,Free,Free,587,79.17
No,Yes,22038,29838,1308499,7145897,Free,Free,992,132.05
No,No,32991,29838,8621121,7145897,Controlled,Free,181,117.23
No,No,32991,29838,8621121,7145897,Controlled,Free,181,117.23
No,No,32991,29838,8621121,7145897,Free,Constrained,181,117.23
Yes,Yes,22360,29838,1421287,7145897,Free,Free,788,106.11
No,Yes,23025,29838,2753373,7145897,Free,Free,2001,181.16
No,Yes,21121,29838,1228816,7145897,Free,Free,1866,157.5
No,Yes,23903,29838,2673620,7145897,Free,Free,2290,200.2
No,No,38813,29838,1653017,7145897,Free,Free,2454,246.85
No,Yes,25824,29838,2549844,7145897,Free,Free,729,99.7
Yes,Yes,23654,29838,2195215,7145897,Free,Free,846,106.77
No,Yes,29260,23858,7830332,895414,Controlled,Free,576,113.5
No,Yes,29260,23858,7830332,895414,Free,Free,576,113.5
No,Yes,30916,23901,2230831,372606,Free,Free,403,69.12
No,No,26993,30124,3532657,5787293,Free,Free,939,210
No,No,32991,23184,8621121,1173217,Controlled,Free,291,134.3
No,No,32991,23184,8621121,1173217,Controlled,Free,291,134.3
No,No,32991,23184,8621121,1173217,Free,Constrained,291,134.3
No,No,32991,18851,8621121,254153,Controlled,Free,637,118.95
No,No,32991,18851,8621121,254153,Controlled,Free,637,118.95
No,No,32991,18851,8621121,254153,Free,Constrained,637,118.95
No,No,26993,25237,3532657,1318892,Free,Constrained,227,97.96
No,No,30124,25237,5787293,1318892,Free,Constrained,722,237.8
No,No,29260,25237,7830332,1318892,Controlled,Constrained,589,234.15
No,No,29260,25237,7830332,1318892,Free,Constrained,589,234.15
No,No,28637,25237,3036732,1318892,Free,Constrained,940,203.17
No,No,32991,25237,8621121,1318892,Controlled,Constrained,539,250.73
No,No,32991,25237,8621121,1318892,Controlled,Constrained,539,250.73
No,No,32991,25237,8621121,1318892,Free,Constrained,539,250.73
No,No,26993,29260,3532657,7830332,Controlled,Free,595,106.6
No,No,26993,29260,3532657,7830332,Free,Free,595,106.6
No,Yes,23665,29260,1038660,7830332,Controlled,Free,974,136.27
No,Yes,23665,29260,1038660,7830332,Free,Free,974,136.27
No,No,30124,29260,5787293,7830332,Controlled,Free,854,230.87
No,No,30124,29260,5787293,7830332,Free,Free,854,230.87
No,No,25059,29260,1595139,7830332,Controlled,Constrained,254,180.56
No,No,25059,29260,1595139,7830332,Free,Constrained,254,180.56
No,No,26993,25059,3532657,1595139,Free,Constrained,371,215.83
No,No,26993,26046,3532657,2915745,Free,Free,561,197.1
No,Yes,29260,26046,7830332,2915745,Controlled,Free,316,69.1
No,Yes,29260,26046,7830332,2915745,Free,Free,316,69.1
No,No,28637,22263,3036732,472254,Free,Free,592,91.83
No,No,27211,22263,3770125,472254,Free,Free,817,111.66
Yes,No,24575,22263,1197234,472254,Free,Free,602,57.62
No,No,24706,22263,9056076,472254,Free,Free,833,104.72
No,No,32991,22263,8621121,472254,Controlled,Free,1636,154.74
No,No,32991,22263,8621121,472254,Controlled,Free,1636,154.74
No,No,32991,22263,8621121,472254,Free,Constrained,1636,154.74
No,No,23025,22263,2753373,472254,Free,Free,550,77.98
No,No,31981,22263,4549784,472254,Free,Free,1476,157.2
No,No,31981,22263,4549784,472254,Controlled,Free,1476,157.2
No,No,26993,24502,3532657,1442203,Free,Free,445,113.2
No,No,30124,24502,5787293,1442203,Free,Free,633,143.59
No,Yes,29260,24502,7830332,1442203,Controlled,Free,286,75.07
No,Yes,29260,24502,7830332,1442203,Free,Free,286,75.07
No,Yes,22089,28637,668159,3036732,Free,Free,573,84.46
No,No,26993,28637,3532657,3036732,Free,Free,734,113.99
No,Yes,23665,28637,1038660,3036732,Free,Free,184,67.17
No,No,30124,28637,5787293,3036732,Free,Free,1559,320.37
No,No,29260,28637,7830332,3036732,Controlled,Free,805,244.5
No,No,29260,28637,7830332,3036732,Free,Free,805,244.5
No,Yes,18933,28637,382155,3036732,Free,Free,354,78.62
No,No,26993,29055,3532657,1862106,Free,Free,1200,210.9
No,No,30124,29055,5787293,1862106,Free,Free,1755,311.46
No,No,29260,29055,7830332,1862106,Controlled,Free,902,174.06
No,No,29260,29055,7830332,1862106,Free,Free,902,174.06
No,No,28637,29055,3036732,1862106,Free,Free,638,155.81
No,No,26993,26506,3532657,4459144,Free,Constrained,600,106.56
No,No,30124,26506,5787293,4459144,Free,Constrained,616,110.42
No,Yes,29260,26506,7830332,4459144,Controlled,Constrained,237,74.28
No,Yes,29260,26506,7830332,4459144,Free,Constrained,237,74.28
No,No,28637,26506,3036732,4459144,Free,Constrained,1001,245.28
No,No,29055,26506,1862106,4459144,Free,Constrained,1139,256.48
No,Yes,28637,14600,3036732,677757,Free,Free,548,84.23
Yes,No,26993,26752,3532657,1440377,Free,Free,578,105.1
Yes,No,30124,26752,5787293,1440377,Free,Free,1229,121.09
Yes,Yes,29260,26752,7830332,1440377,Controlled,Free,1168,153.95
Yes,Yes,29260,26752,7830332,1440377,Free,Free,1168,153.95
